Year,1,2,3,4,5
1983,3741.7822,14132.1286,1724.2098,941.8609,384.664
1984,11153.0972,5497.3573,2343.0733,449.1431,437.523
1985,544.1801,14312.2849,1967.9193,741.63,240.0372
1986,11081.9228,2284.0942,3338.4463,883.1888,449.1134
1987,4343.5409,13889.4538,703.1625,740.4694,219.116
1988,2537.0711,3376.748,3512.022,184.4068,358.8442
1989,8362.1714,3247.1494,2622.3438,1092.0663,154.2583
1990,1770.0654,7058.4729,1148.2537,427.25,487.2451
1991,1537.8647,2119.9351,1874.3666,492.8602,271.2603
1992,8175.9454,2843.9141,724.791,490.8811,164.1926
1993,2820.5127,7559.8988,931.6769,324.3461,248.6171
1994,6187.1008,2041.7238,1528.1116,465.4815,236.6963
1995,6769.1817,8786.293,1633.258,539.5444,158.5215
1996,1639.532,4144.5118,2101.7394,325.733,234.1917
1997,13784.828,2498.5908,1156.4205,506.5892,169.8031
1998,1578.9563,9421.2216,904.9291,449.3988,223.8855
1999,1305.4656,859.7109,4033.2305,362.0383,212.5787
2000,3481.6615,2042.7297,418.8812,958.7927,194.8744
2001,920.8996,3624.0132,812.002,162.6663,162.1839
2002,2474.5739,1411.1762,1497.1301,248.1044,53.3464
2003,364.5132,2066.0304,555.6872,428.0051,134.3348
2004,2486.7931,1139.1411,1155.0921,215.67,183.7162
2005,943.4926,1458.1139,476.5407,403.3162,69.4032
2006,3493.3633,857.2758,747.851,155.3424,88.8159
2007,1202.5336,2644.7123,701.8071,232.0359,87.0946
2008,1910.6205,1051.9177,1194.0218,299.2992,208.0392
2009,961.1721,1775.0951,873.44,398.2224,130.538
2010,2508.875,1583.7016,1191.4654,330.1166,208.6167
2011,662.5383,2898.1692,628.036,359.3347,237.3129
2012,1343.4717,1542.9228,1963.4714,442.2318,250.254
2013,1404.7233,1367.1043,804.7657,591.3908,401.6727
2014,2357.5571,1723.2287,790.6225,302.2152,370.8256
2015,1510.2513,3623.2862,1278.4217,465.3101,205.9785
2016,878.7259,1107.1858,2015.7902,665.8811,369.4089
