Year,1,2,3,4,5,6+
1963,3197.720651,42377.24184,6995.178407,3518.647989,2774.357966,1795.8880769
1964,5003.518744,22373.18533,20003.37495,4284.771889,1907.661325,2630.382136937
1965,15734.01632,51628.01967,17556.87735,9135.490313,2375.093736,2030.462950741
1966,18132.82046,62202.06833,29695.15251,6153.320487,3361.895602,2378.15827923
1967,10748.70176,70538.9655,32529.27504,11204.50383,3254.6137,3394.489209292
1968,5800.050277,83415.64338,42372.5495,12330.08971,6045.574924,2865.252521314
1969,2931.87251,22560.69757,31419.25465,13641.36303,4542.291039,4155.674019745
1970,54219.21147,33747.26089,18395.01304,13271.74229,6265.503669,3240.54664934
1971,44598.84573,154565.0241,17132.14756,6720.109771,7065.251977,4426.97267078
1972,3812.787438,186744.0348,47884.52773,5653.371083,2712.742735,5981.954805085
1973,25835.61586,31595.66987,54655.15073,14001.72945,2194.669741,2942.9277513
1974,15483.71675,58623.8687,11347.08867,15744.85863,4600.550197,2383.055578693
1975,33210.42254,46906.5623,18848.81321,4639.872866,7525.183221,3083.977338794
1976,5695.050863,99779.40246,18480.66504,6707.141181,1732.035132,4277.261768192
1977,75129.90789,50926.35526,25524.88647,4597.347713,2285.629931,2726.9037568
1978,29593.26306,174911.8629,17177.97954,9396.001656,2989.062611,2145.685591154
1979,34626.81335,91143.28368,44383.6424,4010.797096,3374.578443,1458.267006042
1980,62394.26518,104356.154,34937.96559,12274.39446,1958.058882,2113.137360606
1981,20130.87838,187626.3909,34566.77184,8953.284133,4087.987337,1632.9218573
1982,66220.2473,64754.83574,59907.32324,9487.472564,3446.7535,2826.359190685
1983,25487.59741,128396.1442,21455.65557,11786.78555,2803.407532,2153.298909902
1984,64358.46689,66025.75072,31087.01016,4237.91994,3414.979835,1812.479380485
1985,8795.021743,117383.2947,18888.49597,7779.001156,1368.947848,1924.620618598
1986,99840.54487,32308.2162,33973.27586,5791.013147,2980.645037,1461.235518956
1987,24816.32834,127773.8751,9761.482822,8688.926057,1528.236936,1634.080324116
1988,21361.56583,55025.07334,43712.16067,3116.683773,2543.337776,1114.464851707
1989,22071.75061,36083.74097,18055.73264,9791.406052,994.3888215,1483.643572623
1990,11628.5074,53782.83169,11795.01051,4298.631776,2444.600543,748.393201375
1991,13287.86044,23145.08127,16554.09339,3266.528977,1371.764237,1439.576606238
1992,27161.61304,31472.38214,8522.878544,4915.530191,1040.803381,920.991295257
1993,4688.125951,54170.77277,11133.55991,3126.055331,1545.895415,772.171975718
1994,15366.20576,24969.0061,20885.12416,3045.390737,859.2006654,763.930157899
1995,15485.61949,62649.75419,12752.69944,5222.594954,790.39549,503.887187008
1996,4870.593786,36302.88612,23045.56671,3125.33983,1834.237376,693.075039442
1997,23442.52953,28792.85617,18389.99871,6409.359328,1221.441038,926.923600946
1998,1243.221159,80947.52645,16793.67177,5909.243783,2378.512368,810.465463326
1999,5830.518068,9549.370231,31623.80381,3958.970234,1418.555215,947.333841996
2000,8086.833315,22456.53747,6309.983342,6529.268213,995.5802238,573.387379282
2001,2164.023968,20308.65148,6043.945319,1113.800282,1052.66189,269.612188581
2002,4425.134655,8029.085921,13831.25312,2787.371334,395.069504,502.898008
2003,438.429888,8892.734806,3552.36107,3072.432564,397.350046,151.79544
2004,1470.482927,3511.06928,5453.21208,1527.218406,938.501087,210.429895
2005,1009.039144,8174.854264,3035.651573,1714.259758,479.485635,416.796806
2006,1286.328455,4400.988485,4410.11714,969.0159,520.284659,334.58418
2007,776.245366,6334.030964,2264.351252,1561.817708,398.408366,223.6083
2008,338.265488,3267.744735,4129.6918,1145.775676,705.871034,323.796897
2009,518.77645,4832.656242,2838.931438,2888.469235,596.306372,327.962104
2010,1119.956883,5037.317042,4577.693216,1581.575903,1314.599177,291.439316
2011,1099.12015,4540.420994,4045.50222,1407.709911,610.168661,534.469367
2012,665.452927,2229.536647,5366.898997,1962.591058,633.300847,410.981723
2013,682.650988,2687.946592,3062.765286,2591.576935,865.38366,318.044109
2014,2239.674866,4206.554319,4375.908206,1605.057432,1286.392798,442.019243
2015,705.913387,6430.143394,4892.491139,1939.091825,744.487689,758.725646
