Year,Landings,Discards,Catch,Catch multiplier,Total Removals
1963,106938,10849,117830,NA,117830
1964,135131,9788,144929,NA,144929
1965,182043,17057,199187,NA,199187
1966,214701,26239,240867,NA,240867
1967,260667,26662,287506,NA,287506
1968,276509,17127,293608,NA,293608
1969,217075,9664,226840,NA,226840
1970,232350,19897,252206,NA,252206
1971,291560,57873,349410,NA,349410
1972,328076,34372,362580,NA,362580
1973,234685,24959,259627,NA,259627
1974,209609,26160,235626,NA,235626
1975,209190,36243,245242,NA,245242
1976,201390,43871,245242,NA,245242
1977,181680,77964,259367,NA,259367
1978,306202,48728,355045,NA,355045
1979,278173,62131,340102,NA,340102
1980,290977,100912,391601,NA,391601
1981,342148,53960,395933,NA,395933
1982,323191,63577,386930,NA,386930
1983,287794,37235,324811,NA,324811
1984,209819,68050,278173,NA,278173
1985,213844,28029,241832,NA,241832
1986,168890,59042,227749,NA,227749
1987,225032,32565,257558,NA,257558
1988,191377,14707,206076,NA,206076
1989,138968,40296,179154,NA,179154
1990,115151,23086,138275,NA,138275
1991,102437,15755,118302,NA,118302
1992,108554,31414,140084,NA,140084
1993,130115,28543,158606,0.94,148301
1994,106116,41910,148048,1.04,153430
1995,130522,31930,162316,1.17,190232
1996,132275,21451,153682,1.01,155593
1997,133070,46149,179267,0.86,153430
1998,147449,43575,191040,0.71,135673
1999,96722,13843,110592,0.86,94845
2000,73373,16493,89798,0.95,84965
2001,44416,11411,55846,1.29,72186
2002,53422,11395,64794,0.87,56444
2003,31131,4750,35881,1.49,53316
2004,27269,7503,34770,1.13,39419
2005,29902,11366,41262,0.97,40055
2006,22629,9121,31761,NA,31761
2007,24005,29144,53104,NA,53104
2008,27038,25261,52313,NA,52313
2009,33223,21610,54830,NA,54830
2010,36207,12545,48728,NA,48728
2011,34372,10443,44802,NA,44802
2012,32728,7632,40336,NA,40336
2013,30822,10808,41606,NA,41606
2014,34822,11121,45936,NA,45936
2015,38638,13654,52313,NA,52313
