Year,Landings,Discards,Catch
1963,115893,12199,128092
1964,125393,4656,130049
1965,180120,28973,209092
1966,220197,37862,258059
1967,251687,23285,274972
1968,286948,17468,304417
1969,199746,4757,204503
1970,224993,17663,242656
1971,326492,84007,410498
1972,352161,33603,385764
1973,237874,29966,267840
1974,213215,39533,252748
1975,204249,36841,241089
1976,233007,72397,305404
1977,208318,139027,347345
1978,294640,32434,327074
1979,266019,162278,428297
1980,293753,294208,587962
1981,333616,57076,390691
1982,302365,54008,356372
1983,257634,21430,279065
1984,227070,151004,378074
1985,214354,31298,245651
1986,201279,138604,339883
1987,216041,27706,243747
1988,183202,10504,193706
1989,139578,61656,201233
1990,124835,26747,151582
1991,101442,18199,119641
1992,112740,36193,148932
1993,119947,21412,141358
1994,109915,98208,208123
1995,136397,31707,168104
1996,124721,14030,138751
1997,122434,33184,155618
1998,144637,40102,184740
1999,94108,13642,107749
2000,69567,13360,82927
2001,48440,13519,61960
2002,53147,11891,65039
2003,30423,4006,34429
2004,27747,8724,36471
2005,28168,9941,38109
2006,25666,11910,37576
2007,24217,30429,54647
2008,26814,24985,51800
2009,33177,20844,54022
2010,36762,12348,49110
2011,31980,8711,40692
2012,32123,8640,40762
2013,30474,10291,40765
2014,34656,10537,45194
2015,37372,12605,49977
