Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,16150,8049,97921,108375,50214,31115,2502,52958,258920,38250,85915,124151,136651,226781,472599,28908,581071,1185689,155732,181946,54949,537521,63301,563506,24634,15376,176920,33875,47473,102410,33433,320725,44756,14254,86109,15458,30962,37031,5460,26267,5696,20336,10213,26890,16171,10847,9608,9867,3936,11149,6188,7756,4271
2,19902,6168,6599,22125,24736,22957,10279,8656,37224,59342,17387,15878,16214,83210,48009,78114,5270,17692,34307,8377,11130,12518,36573,5761,61948,17084,8685,48244,8383,9881,28538,16804,43434,23058,13701,90259,5630,5509,33094,13236,6082,8941,8303,35342,23047,9331,9055,9151,7851,5190,6055,6504,8988
3,33,115,89,71,160,197,113,152,47,177,246,71,0,192,464,0,0,0,79,98,25,5,115,303,0,216,489,78,448,2,11,160,30,764,40,1500,8280,0,753,3181,775,2007,1795,1965,2657,7591,2655,1254,925,1422,856,1434,1960
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,122,149,51,481,223,650,65,81,115,397,163,179
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,4,52,14,50,30,6,5,83,58,54
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,24,11,17,0,4,1,40,5,63
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,1,16,0,15
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
+gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
