Year,1,2,3,4,5,6+,Fbar 2-4
1963,0.079,0.443,0.511,0.465,0.461,0.473,0.473
1964,0.089,0.478,0.562,0.507,0.5,0.509,0.515
1965,0.104,0.528,0.623,0.549,0.531,0.533,0.567
1966,0.109,0.541,0.631,0.544,0.528,0.533,0.572
1967,0.119,0.575,0.673,0.58,0.571,0.574,0.609
1968,0.131,0.612,0.711,0.615,0.602,0.596,0.646
1969,0.123,0.586,0.671,0.581,0.576,0.572,0.613
1970,0.143,0.638,0.711,0.601,0.586,0.57,0.65
1971,0.182,0.737,0.8,0.668,0.644,0.617,0.735
1972,0.215,0.812,0.86,0.716,0.689,0.66,0.796
1973,0.222,0.815,0.836,0.692,0.661,0.625,0.781
1974,0.219,0.793,0.789,0.651,0.63,0.599,0.744
1975,0.251,0.861,0.848,0.696,0.673,0.631,0.802
1976,0.288,0.934,0.908,0.726,0.701,0.65,0.856
1977,0.273,0.896,0.866,0.682,0.675,0.631,0.815
1978,0.307,0.972,0.969,0.765,0.756,0.693,0.902
1979,0.283,0.908,0.917,0.713,0.689,0.628,0.846
1980,0.313,0.974,1.005,0.783,0.737,0.667,0.921
1981,0.312,0.979,1.029,0.803,0.738,0.668,0.937
1982,0.35,1.071,1.159,0.917,0.833,0.747,1.049
1983,0.34,1.057,1.149,0.92,0.826,0.737,1.042
1984,0.306,0.985,1.066,0.871,0.783,0.7,0.974
1985,0.285,0.945,1.022,0.852,0.762,0.68,0.939
1986,0.297,0.978,1.078,0.923,0.82,0.726,0.993
1987,0.28,0.952,1.058,0.918,0.812,0.718,0.976
1988,0.283,0.964,1.085,0.941,0.823,0.719,0.997
1989,0.29,0.979,1.101,0.962,0.844,0.734,1.014
1990,0.262,0.918,1.018,0.884,0.768,0.664,0.94
1991,0.251,0.896,1.007,0.89,0.785,0.673,0.931
1992,0.241,0.877,0.999,0.888,0.778,0.652,0.921
1993,0.24,0.883,1.027,0.907,0.79,0.649,0.939
1994,0.241,0.89,1.065,0.931,0.808,0.651,0.962
1995,0.249,0.923,1.13,0.973,0.842,0.662,1.009
1996,0.232,0.895,1.136,0.994,0.889,0.693,1.008
1997,0.212,0.847,1.113,0.996,0.902,0.69,0.985
1998,0.209,0.843,1.139,1.03,0.933,0.696,1.004
1999,0.215,0.863,1.21,1.113,1.016,0.741,1.062
2000,0.211,0.855,1.217,1.136,1.032,0.73,1.069
2001,0.19,0.798,1.133,1.068,0.963,0.665,1
2002,0.176,0.751,1.073,1.013,0.909,0.616,0.946
2003,0.171,0.735,1.056,0.977,0.862,0.568,0.923
2004,0.166,0.716,1.03,0.919,0.812,0.526,0.888
2005,0.153,0.674,0.963,0.839,0.758,0.486,0.825
2006,0.134,0.611,0.858,0.728,0.673,0.428,0.732
2007,0.119,0.561,0.798,0.672,0.619,0.384,0.677
2008,0.108,0.525,0.761,0.637,0.597,0.369,0.641
2009,0.102,0.505,0.746,0.628,0.587,0.352,0.627
2010,0.083,0.437,0.647,0.544,0.505,0.298,0.542
2011,0.062,0.356,0.527,0.446,0.416,0.246,0.443
2012,0.054,0.324,0.481,0.406,0.371,0.216,0.404
2013,0.052,0.314,0.472,0.394,0.352,0.199,0.393
2014,0.052,0.314,0.479,0.394,0.344,0.192,0.395
2015,0.05,0.305,0.466,0.383,0.339,0.19,0.385
