Year,1,2,3,4,5,6+,Total
1963,487478,184241,20339,10330,8251,5229,715868
1964,802109,133653,51741,11535,5261,7059,1011356
1965,1042362,229120,40336,22948,6212,5602,1346580
1966,1271872,275130,67711,16487,9513,6184,1646896
1967,1074107,338067,72693,28739,8039,8202,1529846
1968,544161,289816,89859,28739,14327,7123,974024
1969,480220,141210,72620,34166,11439,10048,749703
1970,1561254,130875,38754,32370,15432,8536,1787223
1971,2034987,414571,33591,14955,16036,10721,2524861
1972,509406,518658,90490,12157,5981,12826,1149518
1973,740440,119372,105873,29912,4964,7216,1007778
1974,726505,177194,23861,36680,11073,5634,980947
1975,1236753,169397,36901,9666,16455,7232,1476405
1976,846614,285501,33996,13639,3812,9945,1193507
1977,2092772,171442,51226,10937,5137,6186,2337699
1978,1333077,443743,30792,18834,5598,4652,1836694
1979,1636385,271577,80258,9005,7374,3572,2008170
1980,2623448,313013,58806,24711,3982,4721,3028681
1981,1056001,494350,58747,17678,8882,3660,1639319
1982,1727179,191760,92042,17024,6599,5632,2040236
1983,946949,320937,33090,21245,5434,4533,1332189
1984,1709993,177371,51896,8047,6790,3887,1957985
1985,415817,332701,32958,14820,2806,4265,803366
1986,1861699,84881,57815,10212,5661,3037,2023304
1987,709276,387317,16365,15466,3034,3409,1134868
1988,490411,151752,70263,5234,4986,2410,725056
1989,827364,107689,30394,17499,1832,2993,987770
1990,327420,180593,20296,7972,5228,1729,543239
1991,374370,75132,30669,6111,2741,3047,492069
1992,856834,90400,14979,8947,2073,2140,975374
1993,434521,201995,17910,5104,2918,1661,664109
1994,1018661,107259,36534,5594,1778,1797,1171624
1995,596002,248451,23318,10440,1823,1379,881413
1996,372876,141775,39577,5710,3344,1449,564731
1997,1160081,96568,25848,9548,1868,1723,1295636
1998,141210,300740,20613,7003,3011,1280,473857
1999,251450,37272,54285,5519,2072,1623,352221
2000,457257,67914,8617,10507,1578,1150,547022
2001,167042,127389,14258,2296,2420,810,314215
2002,246965,48388,25540,4067,626,1033,326618
2003,123254,68186,10749,7506,1153,589,211437
2004,201793,37459,14371,3257,2172,650,259703
2005,154508,53960,8150,3628,1066,1171,222483
2006,358255,45388,12417,2326,1170,1027,420583
2007,168552,100609,10064,4366,1043,918,285552
2008,196025,46490,23742,3432,1780,1123,272593
2009,193300,54122,11460,8139,1539,1326,269886
2010,296262,55160,13354,4308,3591,1296,373972
2011,148153,80902,13808,4803,2007,2619,252293
2012,203211,41689,21047,6704,2297,2377,277325
2013,263024,52892,11685,9939,3509,2362,343411
2014,391601,66836,15902,5772,5136,3012,488259
2015,169058,104925,20228,7482,3032,5274,309999
2016,145365,41357,30152,10075,4168,5339,236455
