Year,Recruits age 1 ('000),Low,High,TSB (tons),Low,High,SSB (tons),Low,High,Total removals (tons),Low,High,Fbar 2-4,Low,High
1963,487478,358327,663179,511959,438909,597167,151903,116620,197861,117830,104453,132921,0.473,0.41,0.546
1964,802109,590710,1089163,661986,563847,777207,163081,128015,207752,144929,131184,160114,0.515,0.453,0.587
1965,1042362,770073,1410931,834009,718024,968731,199187,161242,246062,199187,177659,223324,0.567,0.498,0.645
1966,1271872,940738,1719562,996496,858764,1156316,221239,180297,271479,240867,215473,269254,0.572,0.505,0.648
1967,1074107,793636,1453696,1051786,916308,1207294,249946,204164,305994,287506,256711,321996,0.609,0.541,0.687
1968,544161,401563,737396,879404,784009,986407,260928,219902,309608,293608,266422,323568,0.646,0.572,0.729
1969,480220,352625,653985,735275,650773,830750,257816,215292,308739,226840,209423,245706,0.613,0.545,0.689
1970,1561254,1151735,2116385,1191829,989256,1435885,270222,226747,322033,252206,221705,286903,0.65,0.581,0.727
1971,2034987,1494855,2770283,1330413,1125138,1573140,274032,230490,325799,349410,300289,406565,0.735,0.66,0.819
1972,509406,373697,694398,921723,816093,1041025,242559,204115,288243,362580,317364,414237,0.796,0.714,0.887
1973,740440,543432,1008869,738222,654242,832983,209190,181178,241534,259627,236256,285309,0.781,0.701,0.87
1974,726505,532203,991744,710696,628630,803476,227521,197185,262526,235626,210477,263779,0.744,0.668,0.829
1975,1236753,898049,1703201,806936,687318,947373,208147,178992,242051,245242,213679,281467,0.802,0.722,0.89
1976,846614,610455,1174132,636029,558694,724069,177549,150733,209135,245242,212833,282586,0.856,0.77,0.952
1977,2092772,1517872,2885417,987567,804712,1211973,152512,129838,179147,259367,213325,315347,0.815,0.733,0.906
1978,1333077,964302,1842880,1126921,939155,1352228,153430,135157,174173,355045,291999,431704,0.902,0.814,1
1979,1636385,1187309,2255315,1040280,885178,1222558,155438,138265,174743,340102,290766,397808,0.846,0.764,0.937
1980,2623448,1894717,3632458,1255444,1040773,1514394,171785,153907,191740,391601,324430,472680,0.921,0.834,1.016
1981,1056001,764334,1458968,1037163,896985,1199249,186839,168927,206650,395933,337515,464462,0.937,0.851,1.032
1982,1727179,1266440,2355539,1132570,947803,1353356,181861,163890,201804,386930,327705,456860,1.049,0.954,1.154
1983,946949,705301,1271388,885582,761846,1029414,153737,138111,171131,324811,276910,380999,1.042,0.949,1.144
1984,1709993,1276254,2291140,908000,761709,1082388,132191,118318,147690,278173,236185,327626,0.974,0.887,1.07
1985,415817,306386,564333,586542,519056,662802,134054,120046,149698,241832,209515,279134,0.939,0.854,1.033
1986,1861699,1392122,2489668,817495,671484,995255,117948,106247,130938,227749,190592,272150,0.993,0.905,1.089
1987,709276,531862,945870,748630,644155,870050,124368,111732,138432,257558,217457,305054,0.976,0.889,1.071
1988,490411,367376,654653,550730,481387,630062,122394,111714,134095,206076,182711,232429,0.997,0.909,1.093
1989,827364,617442,1108657,555154,469661,656209,109754,99560,120993,179154,154255,208071,1.014,0.924,1.113
1990,327420,245925,435923,371759,327466,422042,99409,89727,110136,138275,120905,158140,0.94,0.853,1.035
1991,374370,282954,495320,342491,299039,392256,95607,85764,106579,118302,105025,133259,0.931,0.847,1.025
1992,856834,651596,1126719,534988,446930,640396,91400,82417,101362,140084,118184,166044,0.921,0.838,1.012
1993,434521,333421,566278,414571,364768,471175,98815,89788,108748,148301,127906,171948,0.939,0.855,1.032
1994,1018661,774196,1340321,529136,447527,625626,101722,93173,111056,153430,132162,178121,0.962,0.878,1.054
1995,596002,455413,779993,564107,487180,653183,121297,111138,132385,190232,162909,222137,1.009,0.92,1.105
1996,372876,286009,486124,420837,371918,476190,116658,107364,126756,155593,137976,175460,1.008,0.921,1.104
1997,1160081,873759,1540226,643064,525791,786494,101519,93269,110499,153430,128317,183458,0.985,0.901,1.078
1998,141210,107355,185739,328076,288902,372562,102847,93052,113674,135673,116389,158151,1.004,0.919,1.097
1999,251450,193327,327047,226840,203275,253136,85819,78573,93734,94845,86633,103836,1.062,0.972,1.161
2000,457257,351456,594907,289526,246955,339435,68255,62000,75140,84965,73561,98138,1.069,0.978,1.17
2001,167042,128335,217423,198590,176133,223911,63513,57588,70047,72186,63669,81843,1,0.911,1.098
2002,246965,190137,320777,168890,148613,191932,56387,51162,62146,56444,51043,62416,0.946,0.86,1.04
2003,123254,94570,160637,142344,127825,158512,56783,51588,62503,53316,47825,59439,0.923,0.834,1.022
2004,201793,155640,261634,123995,108845,141254,46212,41454,51516,39419,35863,43328,0.888,0.801,0.985
2005,154508,117922,202444,139107,121516,159244,47620,41866,54164,40055,35433,45280,0.825,0.742,0.918
2006,358255,276697,463852,146679,123856,173707,43261,37523,49876,31761,28205,35766,0.732,0.652,0.822
2007,168552,130595,217540,195048,172164,220974,72766,64232,82433,53104,46487,60662,0.677,0.6,0.763
2008,196025,151700,253303,205664,180468,234378,81227,71691,92031,52313,47548,57555,0.641,0.564,0.728
2009,193300,149561,249831,220356,193500,250939,90944,79475,104068,54830,49572,60647,0.627,0.548,0.716
2010,296262,228415,384262,236097,203918,273355,93060,79738,108608,48728,44262,53644,0.542,0.469,0.627
2011,148153,114403,191860,223910,194119,258273,105662,88341,126379,44802,40440,49634,0.443,0.379,0.518
2012,203211,157358,262425,199586,172234,231281,106831,88281,129277,40336,37275,43648,0.404,0.344,0.473
2013,263024,203288,340313,259886,223095,302746,117477,97190,142000,41606,38211,45303,0.393,0.338,0.458
2014,391601,295327,519260,329391,278089,390156,126880,105516,152570,45936,41634,50682,0.395,0.341,0.459
2015,169058,118172,241857,288082,245194,338472,151146,125031,182714,52313,46831,58436,0.385,0.327,0.453
2016,NA,NA,NA,NA,NA,NA,161135,129713,200170,NA,NA,NA,NA,NA,NA
